vw,up,us,aero_force,v_app,yaw_rate,yaw_rate_paper,gk,gk_paper,kite_vel,aoa,elevation,azimuth,cs
8.0,0.2,0.05,891.166015625,8.045750617980957,0.19362749126989492,0.035083110252154784,0.47847133086755306,0.021642944342937693,0.8687976002693176,10.007682800292969,-2.5445003509521484,79.62261962890625,-0.06510149343704708
8.0,0.2,0.1,43160.26953125,56.524227142333984,45.1175976391609,45.11332354894916,6.87125203201172,0.05321058934603335,55.955291748046875,5.385591983795166,0.12948836386203766,-0.16741208732128143,-0.06358600543302112
8.0,0.2,0.15,20029.08203125,35.44788360595703,75.1730396650139,75.16960962040514,13.426936906573701,-0.025795525032467556,34.53333282470703,11.961527824401855,0.012762985192239285,-0.029393985867500305,-0.004058113795902695
8.0,0.2,0.2,19886.3203125,35.35691833496094,86.90420125723927,86.89969365889837,11.826214405767226,-0.07517676599929565,34.43994140625,11.76476764678955,0.029445664957165718,-0.03311248496174812,0.01928380889277017
8.0,0.2,0.25,19516.2265625,35.15471649169922,97.07365057705928,97.06965964388444,10.720713373639875,0.0269458751733624,34.232357025146484,11.591140747070312,0.028122099116444588,-0.0011079695541411638,0.04222589052535107
8.0,0.24,0.05,728.72314453125,8.043370246887207,0.19098661009567305,0.040849645237000055,0.4727008205305078,0.020936950318212907,0.8505202531814575,8.57917308807373,2.4723973274230957,77.6868667602539,-0.04378962062550504
8.0,0.24,0.1,757.18310546875,8.175252914428711,0.3786058220474537,0.7363423777120204,0.4621132738127291,-0.007892252803409891,1.6830381155014038,8.385822296142578,-65.51055908203125,-16.036636352539062,-0.0022777778557211067
8.0,0.24,0.15,29557.6171875,50.30299377441406,54.29719074205245,54.29841381965954,6.715260056960665,-0.001039604260107987,49.66267013549805,4.205657958984375,0.0508115328848362,-0.13246145844459534,-0.025797229194272044
8.0,0.24,0.2,28125.125,49.31852722167969,69.6419029415441,69.64069975321217,6.728121836591588,0.0562403738060819,48.66539764404297,4.262968063354492,0.06378351897001266,-0.03268255665898323,-0.0032378201276321143
8.0,0.24,0.25,26224.28515625,47.91923904418945,82.00271603266529,81.99967711649165,6.612002263151885,0.05094351919830216,47.24681091308594,4.38887882232666,0.07801134884357452,-0.011674737557768822,0.018193673390096206
8.0,0.28,0.05,551.4448852539062,8.03561019897461,0.17760189099786872,0.049355432942227856,0.4404717718869807,0.017545514901183477,0.7798699140548706,6.686880111694336,11.676057815551758,74.2491226196289,-0.02424948345785029
8.0,0.28,0.1,584.832275390625,8.148296356201172,0.35352149430297203,0.6271326656358501,0.4331725884823075,0.015844113795114,1.5496759414672852,6.8009419441223145,-60.5422477722168,35.75299835205078,0.01488713395520361
8.0,0.28,0.15,18972.2734375,43.474124908447266,39.56492860974542,39.562839646944056,5.807632872690376,-0.0004705452737857296,42.73169708251953,3.212195634841919,0.09675883501768112,-0.11119731515645981,-0.013712654598526412
8.0,0.28,0.2,18541.18359375,43.05476379394531,51.414298167263816,51.41230229382851,5.791161921648197,-0.06288860593558253,42.30500411987305,3.2810959815979004,0.1587003767490387,-0.14902165532112122,0.007306398875875094
8.0,0.28,0.25,17834.146484375,42.280906677246094,61.74079660743306,61.735885656089536,5.713677080327326,0.055594327370409556,41.517250061035156,3.4262404441833496,0.07377932220697403,0.005550209432840347,0.027401899826694002
10.0,0.2,0.05,1401.7606201171875,10.08808708190918,0.29652100067119597,0.16635810271380624,0.5824344423965556,0.021485385539626742,1.3337938785552979,10.065044403076172,-45.627464294433594,72.65221405029297,-0.06642577047078058
10.0,0.2,0.1,52606.62890625,64.5765151977539,50.277851378588394,50.27732520519635,6.496441155646982,-0.008017254296484706,63.797523498535156,4.867349624633789,0.13475938141345978,-0.21953681111335754,-0.056251197998050805
10.0,0.2,0.15,51126.9140625,63.974517822265625,73.80594818965875,73.8029094789637,6.825328700069937,-4.589156959812082e-5,63.18811798095703,4.862143039703369,0.0920756533741951,-0.12206020206212997,-0.03334466278957815
10.0,0.2,0.2,510676.40625,47.56065368652344,88.83268619032656,85.14060287075827,10.179854177834832,0.9801608566969013,46.84156799316406,8.190674781799316,20.505659103393555,7.114164352416992,0.03110370740006694
10.0,0.2,0.25,27052.12109375,42.490264892578125,117.16650478105068,117.16138900076886,10.587003240661174,0.002612417147532793,41.2967643737793,10.884486198425293,0.019113633781671524,-0.003750057425349951,0.048580707613890634
10.0,0.24,0.05,1129.9847412109375,10.067499160766602,0.2622300558033387,0.08119921212269834,0.5171613328383774,0.021645635546556224,1.1689473390579224,8.39427375793457,-28.25518035888672,75.41036987304688,-0.04821173695445153
10.0,0.24,0.1,37799.62109375,58.40929412841797,41.70236396400148,41.69610730925171,6.251333113273613,0.0482562483558097,57.54716491699219,3.8784334659576416,0.17694605886936188,-0.10276652872562408,-0.0436457365192864
10.0,0.24,0.15,37147.21875,58.169742584228516,61.55042368026338,61.55144029569203,6.467066943958825,-0.001038364838253205,57.30385208129883,3.847057580947876,0.14309893548488617,-0.12358829379081726,-0.020952171354467485
10.0,0.24,0.2,35619.05078125,57.17367172241211,79.41624177117617,79.41354444498032,6.533825955834264,0.0018379548780397676,56.29233169555664,3.9030919075012207,0.059048693627119064,-0.06657962501049042,0.0011692263459541195
10.0,0.24,0.25,33637.73046875,55.790802001953125,94.28271217865922,94.27882248782755,6.466492205990042,-0.0378986506321096,54.887271881103516,4.030625820159912,0.08690150082111359,-0.07110746949911118,0.022080507040727726
10.0,0.28,0.05,866.5131225585938,10.070989608764648,0.2737748323393429,0.09810666402289402,0.5406568418163903,0.023856546661897307,1.2019991874694824,6.66229248046875,-24.71628761291504,72.19859313964844,-0.02521432743011334
10.0,0.28,0.1,935.1703491210938,10.295528411865234,0.5548992119631736,0.33555330054714183,0.5375832082745711,-0.05908975125476395,2.4363176822662354,6.704864978790283,-23.8135986328125,-67.7320556640625,0.012354696470309841
10.0,0.28,0.15,24808.65625,51.04732131958008,46.03379481584105,46.02971799868787,5.675563415275701,0.04294542373968038,50.058082580566406,3.0016398429870605,-0.03893059492111206,-0.057497523725032806,-0.011463692358034946
10.0,0.28,0.2,24334.244140625,50.61518859863281,59.7612794779384,59.76132131584818,5.669304515502833,-0.003955712542654708,49.617557525634766,3.073782444000244,0.12431430071592331,-0.09456835687160492,0.00877415853900789
10.0,0.28,0.25,23507.83203125,49.77166748046875,72.07852993104454,72.07539753242258,5.624993749260099,-0.002217620337365733,48.7567253112793,3.216381311416626,0.06731780618429184,-0.055551111698150635,0.028419764230567537
