vw,up,us,lt,aero_force,v_app,kite_vel,aoa,set_elevation,final_elevation,azimuth,proj_area,ref_area,g_earth
9.0,0.18,0.0,268.0,34130.25390625,54.136497497558594,53.43065643310547,6.759393692016602,20.0,-10.974313735961914,-2.4969727993011475,2.4346058325455675,23.855285768571882,0.0
9.0,0.18,0.0,268.0,1132.3309326171875,8.662331581115723,0.9138467907905579,25.81830596923828,30.0,66.94168853759766,0.15794159471988678,3.689613030213899,23.855285768571882,0.0
9.0,0.18,0.0,268.0,1149.370361328125,8.666768074035645,0.9293473958969116,24.985366821289062,35.0,67.79981231689453,-0.08052033185958862,3.677345711367868,23.855285768571882,0.0
9.0,0.18,0.0,268.0,1175.353271484375,8.693435668945312,1.0545454025268555,23.354434967041016,45.0,69.2906723022461,-0.024649761617183685,3.682668351793,23.855285768571882,0.0
9.0,0.18,0.0,268.0,1263.0972900390625,8.859307289123535,1.8900806903839111,12.43764591217041,50.0,78.79798889160156,0.620800256729126,3.724140368107821,23.855285768571882,0.0
9.0,0.18,0.0,268.0,1153.72119140625,8.682785987854004,0.9918286800384521,23.47388458251953,55.0,69.44020080566406,0.806253969669342,3.6856929594238155,23.855285768571882,0.0
9.0,0.18,0.0,268.0,1222.140625,8.752800941467285,1.4242380857467651,13.32218074798584,60.0,78.39644622802734,10.33687686920166,3.7030896588159607,23.855285768571882,0.0
9.0,0.18,0.0,268.0,1640.04736328125,8.692724227905273,1.0998132228851318,20.60259246826172,65.0,73.47484588623047,-0.0960354432463646,3.6816241699299135,23.855285768571882,0.0
9.0,0.18,0.0,268.0,1424.9287109375,8.6524658203125,0.8238271474838257,13.887929916381836,70.0,79.30914306640625,-0.34494543075561523,3.707374964547926,23.855285768571882,0.0
9.0,0.18,0.0,268.0,1550.959228515625,8.695794105529785,1.1036088466644287,27.507909774780273,75.0,68.9310302734375,0.5756635665893555,3.6628512221651204,23.855285768571882,0.0
9.0,0.18,0.0,268.0,1350.6712646484375,8.652010917663574,0.8137356042861938,11.017672538757324,80.0,82.96363067626953,-0.5000884532928467,3.6630015949792534,23.855285768571882,0.0
20.0,0.18,0.0,268.0,5833.94677734375,19.946813583374023,2.119335412979126,25.740819931030273,25.0,66.21166229248047,0.4200088083744049,3.7089836230579234,23.855285768571882,0.0
20.0,0.18,0.0,268.0,5965.45361328125,19.96207046508789,2.2392029762268066,24.989303588867188,30.0,67.07906341552734,0.24812018871307373,3.7108792352445947,23.855285768571882,0.0
20.0,0.18,0.0,268.0,6056.88232421875,19.976398468017578,2.3272814750671387,24.111989974975586,35.0,67.96043395996094,0.16247010231018066,3.712888027243132,23.855285768571882,0.0
20.0,0.18,0.0,268.0,7491.3330078125,21.447124481201172,7.4307780265808105,11.732427597045898,50.0,75.72407531738281,1.2265900373458862,3.7385638007126754,23.855285768571882,0.0
20.0,0.18,0.0,268.0,6076.83447265625,20.008434295654297,2.5026803016662598,22.543874740600586,55.0,69.65837097167969,0.3517376780509949,3.707906133956908,23.855285768571882,0.0
20.0,0.18,0.0,268.0,7825.90625,20.030256271362305,2.655805826187134,23.67296600341797,60.0,69.85904693603516,0.24168266355991364,3.701706529939658,23.855285768571882,0.0
20.0,0.18,0.0,268.0,7161.12109375,19.936735153198242,2.068023204803467,16.775232315063477,65.0,76.3139877319336,0.11088000982999802,3.6936806649676237,23.855285768571882,0.0
20.0,0.18,0.0,268.0,7596.6591796875,20.127836227416992,3.193774938583374,12.948974609375,70.0,79.1396484375,-1.9168856143951416,3.722617834235885,23.855285768571882,0.0
20.0,0.18,0.0,268.0,8168.048828125,20.054040908813477,2.791956663131714,27.559249877929688,75.0,68.5288314819336,0.4589180648326874,3.6860084512626448,23.855285768571882,0.0
20.0,0.18,0.0,268.0,7116.2939453125,19.977001190185547,2.3137598037719727,10.596555709838867,80.0,82.81110382080078,0.050786904990673065,3.68408464067223,23.855285768571882,0.0
20.0,0.18,0.0,268.0,9117.7548828125,20.007692337036133,2.4937877655029297,24.765708923339844,85.0,69.51770782470703,0.1903795599937439,3.711150306729384,23.855285768571882,0.0
